Nome do arquivo,Tempo médio,Memoria media
alue2087,12.72788,71476.8
alue2105,14.46124,3055517.3
alue3146,146.51563,4303159.9
alue5067,137.836,4329625.7
alue5345,268.57094,5099215.0
alue5623,103.57566,4744302.2
alue2087,4.60497,71476.8
alue2105,5.47797,3015035.5
alue3146,63.15604,4253774.9
alue5067,61.9095,4293707.4
alue5345,128.43286,5109154.1
alue5623,93.90712,4718117.3
alue5901,671.0428,8212647.9
alue6179,54.63335,4366031.8
alue6457,70.72272,4673538.2
alue6735,87.22341,4785902.3
alue6951,56.73688,4181302.8
